TIME,REGION,COUNTRY,COUNTRY_CODE,LIFE_EXP_FEMALE,LIFE_EXP_MALE,LIFE_EXP_TOTAL,POP_FEMALE,POP_MALE,POP_TOTAL,GDP_CAPITA,HEALTH_CAPITA
2018,Asia,Afghanistan,AFG,66.458,59.923,63.081,18136922,18549862,36686784,2110.239384,299.8225437
2018,Europe,Albania,ALB,81.608,77.037,79.184,1430495,1435881,2866376,13498.18461,895.594816
2018,Africa,Algeria,DZA,77.205,74.966,76.066,20564404,21362603,41927007,12007.77471,741.4194295
2018,Africa,Angola,AGO,64.717,59.582,62.144,15828040,15445494,31273533,7043.95536,181.0779747
2018,North America,Antigua and Barbuda,ATG,81,75.724,78.511,47910,43715,91626,22603.19287,1096.55068
2018,South America,Argentina,ARG,80.329,73.631,76.999,22467488,22027014,44494502,23294.09868,2216.692967
2018,Asia,Armenia,ARM,79.601,69.992,75.064,1551563,1284995,2836557,13549.52242,1355.647719
2018,Oceania,Australia,AUS,84.9,80.7,82.74878049,12582741,12383903,24966643,50192.95733,5337.976003
2018,Europe,Austria,AUT,84.1,79.4,81.69268293,4492714,4347806,8840521,56937.94428,5904.617803
2018,Asia,Azerbaijan,AZE,75.708,69.693,72.76,5036324,4903447,9939771,14551.20011,506.6122194
2018,North America,"Bahamas, The",BHS,77.32,70.225,73.806,209250,192656,401906,35167.3995,2158.404584
2018,Asia,Bahrain,BHR,81.195,78.816,79.857,555346,931994,1487340,50114.15039,2068.990829
2018,Asia,Bangladesh,BGD,74.346,70.889,72.567,82369393,81314565,163683958,5247.694707,121.7842055
2018,North America,Barbados,BRB,78.958,75.013,77.067,145752,133936,279688,16388.59954,1079.559412
2018,Europe,Belarus,BLR,79.4,69.2,74.17560976,5077117,4361667,9438785,19430.90921,1045.470454
2018,Europe,Belgium,BEL,83.9,79.4,81.59512195,5794664,5632391,11427054,52530.56208,5681.599715
2018,North America,Belize,BLZ,77.021,70.84,73.703,189707,192359,382066,9010.060596,426.1121417
2018,Africa,Benin,BEN,61.354,58.916,60.14,5965949,5974735,11940683,3113.254929,77.29569013
2018,Asia,Bhutan,BTN,72.914,69.602,71.129,357467,404630,762096,11503.84721,364.373998
2018,South America,Bolivia,BOL,70.383,65.279,67.748,5774185,5832721,11606905,8669.827849,572.538492
2018,Europe,Bosnia and Herzegovina,BIH,79.093,75.034,77.093,1729892,1670236,3400129,14801.263,1296.740707
2018,Africa,Botswana,BWA,67.371,63.336,65.422,1242730,1208678,2451409,15321.7802,929.018522
2018,South America,Brazil,BRA,78.266,71.956,75.109,106812144,103354449,210166592,14971.05467,1416.930254
2018,Asia,Brunei Darussalam,BRN,76.956,72.668,74.712,209257,225018,434274,61084.25804,1473.852287
2018,Europe,Bulgaria,BGR,78.6,71.5,74.96341463,3618547,3406489,7025037,23016.0668,1680.778107
2018,Africa,Burkina Faso,BFA,61.706,58.29,60.047,10241740,10150983,20392723,2100.530924,105.1384992
2018,Africa,Burundi,BDI,63.524,59.821,61.688,5789861,5703611,11493472,758.2490316,56.10360375
