TIME,REGION,COUNTRY,COUNTRY_CODE, LIFE_EXP_FEMALE , LIFE_EXP_MALE , LIFE_EXP_TOTAL , POP_FEMALE , POP_MALE , POP_TOTAL , GDP_CAPITA , HEALTH_CAPITA 
2018,North America,Honduras,HND, 75.32 , 70.46 , 72.81 ," 4,844,019 "," 4,948,831 "," 9,792,850 "," 5,694.96 ", 411.63 
2018,Europe,Hungary,HUN, 79.60 , 72.70 , 76.07 ," 5,101,926 "," 4,673,638 "," 9,775,564 "," 31,908.86 "," 2,097.78 "
2018,Europe,Iceland,ISL, 84.50 , 81.30 , 82.86 ," 172,511 "," 180,210 "," 352,721 "," 57,197.77 "," 4,789.20 "
2018,Asia,India,IND, 72.14 , 69.37 , 70.71 ," 661,854,076 "," 707,149,230 "," 1,369,003,306 "," 6,590.88 ", 188.66 
2018,Asia,Indonesia,IDN, 72.40 , 68.31 , 70.34 ," 132,530,163 "," 134,536,680 "," 267,066,843 "," 11,671.43 ", 334.68 
2018,Asia,"Iran, Islamic Rep.",IRN, 79.09 , 73.52 , 76.20 ," 42,283,609 "," 43,333,952 "," 85,617,562 "," 14,980.63 "," 1,115.41 "
2018,Asia,Iraq,IRQ, 73.29 , 69.56 , 71.51 ," 20,301,429 "," 20,289,270 "," 40,590,700 "," 10,235.34 ", 414.20 
2018,Europe,Ireland,IRL, 84.10 , 80.40 , 82.20 ," 2,456,754 "," 2,410,562 "," 4,867,316 "," 84,708.25 "," 5,861.91 "
2018,Asia,Israel,ISR, 84.80 , 80.90 , 82.80 ," 4,460,839 "," 4,421,961 "," 8,882,800 "," 40,231.91 "," 3,054.56 "
2018,Europe,Italy,ITA, 85.60 , 81.20 , 83.35 ," 31,012,809 "," 29,408,951 "," 60,421,760 "," 43,036.24 "," 3,732.51 "
2018,North America,Jamaica,JAM, 73.90 , 69.70 , 71.79 ," 1,415,821 "," 1,396,014 "," 2,811,835 "," 10,405.03 ", 620.95 
2018,Asia,Japan,JPN, 87.32 , 81.25 , 84.21 ," 65,140,618 "," 61,670,382 "," 126,811,000 "," 42,141.94 "," 4,545.89 "
2018,Asia,Jordan,JOR, 78.17 , 73.68 , 75.77 ," 5,024,293 "," 5,435,573 "," 10,459,865 "," 9,814.92 ", 766.69 
2018,Asia,Kazakhstan,KAZ, 77.19 , 68.84 , 73.15 ," 9,508,427 "," 8,768,025 "," 18,276,452 "," 26,158.45 ", 726.68 
2018,Africa,Kenya,KEN, 65.16 , 60.29 , 62.68 ," 25,168,522 "," 24,784,782 "," 49,953,304 "," 4,572.15 ", 187.37 
2018,Oceania,Kiribati,KIR, 68.52 , 64.97 , 66.86 ," 62,820 "," 59,441 "," 122,261 "," 2,088.46 ", 259.61 
2018,Asia,"Korea, Rep.",KOR, 85.70 , 79.70 , 82.63 ," 25,783,018 "," 25,802,041 "," 51,585,058 "," 43,044.29 "," 3,241.44 "
2018,Asia,Kuwait,KWT, 82.28 , 78.23 , 79.72 ," 1,661,345 "," 2,655,840 "," 4,317,185 "," 50,119.62 "," 2,570.28 "
2018,Asia,Kyrgyz Republic,KGZ, 75.60 , 67.40 , 71.40 ," 3,218,986 "," 3,103,815 "," 6,322,800 "," 5,256.56 ", 267.56 
2018,Asia,Lao PDR,LAO, 69.57 , 65.79 , 67.63 ," 3,522,442 "," 3,582,564 "," 7,105,006 "," 7,727.75 ", 173.58 
2018,Europe,Latvia,LVA, 79.70 , 70.10 , 74.78 ," 1,039,395 "," 887,780 "," 1,927,174 "," 30,877.04 "," 1,903.77 "
2018,Asia,Lebanon,LBN, 81.46 , 77.78 , 79.73 ," 3,039,172 "," 2,911,667 "," 5,950,839 "," 18,368.80 "," 1,484.51 "
2018,Africa,Lesotho,LSO, 56.59 , 50.99 , 53.73 ," 1,114,109 "," 1,083,909 "," 2,198,017 "," 2,562.18 ", 273.99 
2018,Africa,Liberia,LBR, 62.16 , 59.53 , 60.85 ," 2,458,807 "," 2,430,584 "," 4,889,391 "," 1,558.32 ", 146.35 
2018,Africa,Libya,LBY, 75.88 , 70.02 , 72.79 ," 3,193,468 "," 3,284,325 "," 6,477,793 "," 26,352.83 ", 312.85 
2018,Europe,Lithuania,LTU, 80.70 , 70.90 , 75.68 ," 1,495,079 "," 1,306,463 "," 2,801,543 "," 36,376.53 "," 2,369.31 "
2018,Europe,Luxembourg,LUX, 84.60 , 80.10 , 82.30 ," 302,297 "," 305,653 "," 607,950 "," 116,498.51 "," 6,211.73 "
2018,Africa,Madagascar,MDG, 67.43 , 63.20 , 65.27 ," 13,384,012 "," 13,462,529 "," 26,846,541 "," 1,594.76 ", 68.11 
2018,Africa,Malawi,MWI, 66.96 , 59.72 , 63.28 ," 9,445,207 "," 8,922,676 "," 18,367,883 "," 1,513.97 ", 104.06 
2018,Asia,Malaysia,MYS, 78.27 , 73.29 , 75.64 ," 15,801,948 "," 16,597,324 "," 32,399,271 "," 27,480.95 "," 1,033.10 "
2018,Asia,Maldives,MDV, 81.07 , 79.21 , 80.01 ," 206,793 "," 282,965 "," 489,758 "," 20,265.24 "," 1,506.93 "
