Time,Region,Country Name,Country Code,"Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]"
2022,Oceania,Samoa,WSM,..,..,..,109007,113375,222382,6041.156661
2022,Europe,San Marino,SMR,..,..,..,17281,16380,33660,..
2022,Africa,Sao Tome and Principe,STP,..,..,..,113972,113407,227380,4738.191722
2022,Asia,Saudi Arabia,SAU,..,..,..,15429586,20979233,36408820,59065.00464
2022,Africa,Senegal,SEN,..,..,..,8800406,8516043,17316449,4208.964979
2022,Europe,Serbia,SRB,..,..,..,3519916,3240171,6760087,23911.20122
2022,Africa,Seychelles,SYC,..,..,..,47382,52679,100060,35227.8179
2022,Africa,Sierra Leone,SLE,..,..,..,4293526,4312192,8605718,1931.067331
2022,Asia,Singapore,SGP,..,..,..,2689047,2947974,5637022,127564.5566
2022,North America,Sint Maarten (Dutch part),SXM,..,..,..,20161,23228,43389,41811.80216
2022,Europe,Slovak Republic,SVK,..,..,..,2777654,2654098,5431752,37459.47384
2022,Europe,Slovenia,SVN,..,..,..,1048703,1060028,2108732,50031.65618
2022,Oceania,Solomon Islands,SLB,..,..,..,354373,369899,724273,2654.09111
2022,Africa,Somalia,SOM,..,..,..,8775069,8822442,17597511,1364.101691
2022,Africa,South Africa,ZAF,..,..,..,30725879,29168006,59893885,15904.84836
2022,Africa,South Sudan,SSD,..,..,..,5508626,5404538,10913164,..
2022,Europe,Spain,ESP,..,..,..,24278328,23336706,47615034,45825.19563
2022,Asia,Sri Lanka,LKA,..,..,..,11498234,10682766,22181000,14405.41595
2022,North America,St. Kitts and Nevis,KNA,..,..,..,24646,23011,47657,34051.88203
2022,North America,St. Lucia,LCA,..,..,..,90909,88948,179857,17755.96518
2022,North America,St. Martin (French part),MAF,..,..,..,16680,15111,31791,..
2022,North America,St. Vincent and the Grenadines,VCT,..,..,..,51020,52928,103948,17206.7869
2022,Africa,Sudan,SDN,..,..,..,23454198,23420005,46874204,4216.024902
2022,South America,Suriname,SUR,..,..,..,310416,307625,618040,17619.80293
2022,Europe,Sweden,SWE,..,..,..,5201777,5285164,10486941,64578.39633
2022,Europe,Switzerland,CHE,..,..,..,4414771,4354970,8769741,83598.45336
2022,Asia,Syrian Arab Republic,SYR,..,..,..,11046621,11078628,22125249,..
2022,Asia,Tajikistan,TJK,..,..,..,4944055,5008732,9952787,4885.125701
2022,Africa,Tanzania,TZA,..,..,..,33126817,32370931,65497748,3096.884521
2022,Asia,Thailand,THA,..,..,..,36890933,34806096,71697030,20671.68492
2022,Asia,Timor-Leste,TLS,..,..,..,657338,683957,1341296,4828.32547
2022,Africa,Togo,TGO,..,..,..,4400474,4448225,8848699,2607.927681
2022,Oceania,Tonga,TON,..,..,..,54010,52848,106858,..
2022,North America,Trinidad and Tobago,TTO,..,..,..,775955,755090,1531044,27778.1806
2022,Africa,Tunisia,TUN,..,..,..,6257745,6098372,12356117,12489.71807
2022,Asia,Turkiye,TUR,..,..,..,42578812,42762429,85341241,37273.69976
2022,Asia,Turkmenistan,TKM,..,..,..,3244911,3185860,6430770,..
2022,North America,Turks and Caicos Islands,TCA,..,..,..,22697,23006,45703,22914.81194
2022,Oceania,Tuvalu,TUV,..,..,..,5513,5799,11312,5421.252775
2022,Africa,Uganda,UGA,..,..,..,23848253,23401332,47249585,2693.815286
2022,Europe,Ukraine,UKR,..,..,..,20550751,17449249,38000000,12671.23926
2022,Asia,United Arab Emirates,ARE,..,..,..,2893385,6547744,9441129,87729.19126
2022,Europe,United Kingdom,GBR,..,..,..,33876563,33094847,66971411,54602.54438
2022,North America,United States,USA,..,..,..,168266219,165021339,333287557,76398.59174
2022,South America,Uruguay,URY,..,..,..,1764421,1658372,3422794,28841.9857
2022,Asia,Uzbekistan,UZB,..,..,..,17809564,17838536,35648100,9532.511865
2022,Oceania,Vanuatu,VUT,..,..,..,162433,164308,326740,3289.479668
2022,South America,"Venezuela, RB",VEN,..,..,..,14304904,13996791,28301696,..
2022,Asia,Vietnam,VNM,..,..,..,49685569,48501287,98186856,13456.55143
2022,North America,Virgin Islands (U.S.),VIR,..,..,..,56275,49137,105413,..
2022,Asia,West Bank and Gaza,PSE,..,..,..,2527169,2516444,5043612,6756.783285
2022,Asia,"Yemen, Rep.",YEM,..,..,..,16673411,17023203,33696614,..
2022,Africa,Zambia,ZMB,..,..,..,10140033,9877642,20017675,3894.310259
2022,Africa,Zimbabwe,ZWE,..,..,..,8614935,7705601,16320537,2530.645987
2022,,Africa Eastern and Southern,AFE,..,..,..,363825140,357014171,720839314,4169.019532
2022,,Africa Western and Central,AFW,..,..,..,243821774,246509095,490330870,4798.434519
2022,,Arab World,ARB,..,..,..,224567216,240117694,464684914,16913.65304
2022,,Caribbean small states,CSS,..,..,..,3801204,3704275,7505478,21055.17319
2022,,Central Europe and the Baltics,CEB,..,..,..,51891150,48757417,100648571,42799.33029
2022,,Early-demographic dividend,EAR,..,..,..,1698304916,1749448163,3447753080,11550.16755
2022,,East Asia & Pacific,EAS,..,..,..,1174752150,1200391015,2375143162,22397.12248
2022,,East Asia & Pacific (excluding high income),EAP,..,..,..,1049546011,1079566116,2129112126,18818.8093
2022,,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,1036387946,1066667432,2103055378,19028.14255
2022,,Euro area,EMU,..,..,..,176028873,168490258,344519132,56494.23591
2022,,Europe & Central Asia,ECS,..,..,..,473686848,446944380,920631231,43894.58093
2022,,Europe & Central Asia (excluding high income),ECA,..,..,..,206749031,190744207,397493238,28289.46509
2022,,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,237890176,219975326,457865503,30183.16695
2022,,European Union,EUU,..,..,..,229043160,218912888,447956050,54248.60751
2022,,Fragile and conflict affected situations,FCS,..,..,..,510257923,508522710,1018780642,4932.728828
2022,,Heavily indebted poor countries (HIPC),HPC,..,..,..,443481605,440806721,884288332,3032.444267
2022,,High income,HIC,..,..,..,625667260,619231761,1244899026,60620.87664
2022,,IBRD only,IBD,..,..,..,2432399119,2481956123,4914355242,17027.55919
2022,,IDA & IBRD total,IBT,..,..,..,3353805026,3400521555,6754326592,13662.2889
2022,,IDA blend,IDB,..,..,..,302182863,305553104,607735968,6113.121683
2022,,IDA only,IDX,..,..,..,619223044,613012328,1232235382,3992.648008
2022,,IDA total,IDA,..,..,..,921405907,918565432,1839971350,4682.921408
2022,,Late-demographic dividend,LTE,..,..,..,1156332907,1169133442,2325466354,22814.23199
2022,,Latin America & Caribbean,LCN,..,..,..,334628227,324682871,659311105,19096.59087
2022,,Latin America & Caribbean (excluding high income),LAC,..,..,..,302854949,293742007,596596955,18212.81813
2022,,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,326615474,316987282,643602758,19000.16066
2022,,Least developed countries: UN classification,LDC,..,..,..,565589191,559590254,1125179454,3679.685531
2022,,Low & middle income,LMY,..,..,..,3314541208,3363407610,6677948824,13213.67289
2022,,Low income,LIC,..,..,..,352439865,351288083,703727949,2244.965676
2022,,Lower middle income,LMC,..,..,..,1573221868,1616790725,3190012599,8416.180541
2022,,Middle East & North Africa,MEA,..,..,..,238380144,254884727,493264873,19676.62933
2022,,Middle East & North Africa (excluding high income),MNA,..,..,..,210254976,214073403,424328381,12764.03822
2022,,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,207727807,211556959,419284769,12837.79069
2022,,Middle income,MIC,..,..,..,2962101343,3012119527,5974220875,14513.17177
2022,,North America,NAC,..,..,..,187882380,184398613,372280991,74519.72561
2022,,Not classified,INX,..,..,..,..,..,..,..
2022,,OECD members,OED,..,..,..,699374731,678238982,1377613713,53854.01866
2022,,Other small states,OSS,..,..,..,15771390,17364891,33136283,26345.6675
2022,,Pacific island small states,PSS,..,..,..,1308286,1330733,2639019,7548.07022
2022,,Post-demographic dividend,PST,..,..,..,566897114,546522284,1113419395,59180.91903
2022,,Pre-demographic dividend,PRE,..,..,..,519608514,518404032,1038012552,3993.719017
2022,,Small states,SST,..,..,..,20880880,22399899,43280780,24284.94281
2022,,South Asia,SAS,..,..,..,937536709,981811290,1919348000,7931.137897
