TIME,COUNTRY,COUNTRY_CODE,LIFE_EXP_FEMALE,LIFE_EXP_MALE,LIFE_EXP_TOTAL,POP_FEMALE,POP_MALE,POP_TOTAL,GDP_CAPITA,HEALTH_CAPITA
2018,South Africa,ZAF,68.74,62.203,65.674,29517286,27822349,57339635,14326.65026,1154.713733
2018,South Sudan,SSD,57.35,54.487,55.95,5256106,5139223,10395329,..,67.80388425
2018,Spain,ESP,86.3,80.7,83.43170732,23851736,22946018,46797754,40716.68076,3674.183339
2018,Sri Lanka,LKA,79.493,71.983,75.748,11212976,10457023,21670000,14083.68639,517.3434549
2018,St. Kitts and Nevis,KNA,75.085,68.206,71.467,24545,23216,47761,30670.60251,1510.371685
2018,St. Lucia,LCA,76.968,70.023,73.357,89573,88315,177888,15998.23475,707.2766379
2018,St. Martin (French part),MAF,84.282,77.207,80.614,17752,16100,33852,..,..
2018,St. Vincent and the Grenadines,VCT,76.863,71.816,74.128,51425,53856,105281,14379.75726,602.8593011
2018,Sudan,SDN,68.233,63.208,65.681,21005857,20993202,41999059,4453.767578,205.8005179
2018,Suriname,SUR,75.937,69.285,72.553,297374,296341,593715,18881.61533,1262.744642
2018,Sweden,SWE,84.3,80.9,82.55853659,5063720,5111494,10175214,53521.63064,5887.643562
2018,Switzerland,CHE,85.7,81.9,83.75365854,4292467,4221862,8514329,70688.81875,8187.830431
2018,Syrian Arab Republic,SYR,75.168,65.625,70.145,9636103,9697361,19333463,..,..
2018,Tajikistan,TJK,72.599,68.272,70.353,4538006,4590127,9128132,3486.974503,244.5619226
2018,Tanzania,TZA,68.649,64.475,66.535,29411111,28679332,58090443,2571.166992,103.8519026
2018,Thailand,THA,83.149,74.315,78.662,36456433,34671370,71127802,18093.81978,700.059286
2018,Timor-Leste,TLS,69.702,66.468,68.017,618322,643523,1261845,3144.63261,200.2487454
2018,Togo,TGO,60.646,59.829,60.244,4004288,4042391,8046679,2072.749612,124.2514509
2018,Tonga,TON,73.614,68.149,70.779,52981,52169,105150,6439.157782,309.6046423
2018,Trinidad and Tobago,TTO,77.353,70.299,73.802,761204,743505,1504709,26148.71303,1665.887188
2018,Tunisia,TUN,79.323,72.864,75.95,6023338,5909703,11933041,11312.23929,672.6749168
2018,Turkiye,TUR,80.684,74.417,77.563,41271565,41537739,82809304,27802.54778,1146.476512
2018,Turkmenistan,TKM,72.192,65.408,68.796,3061479,3003587,6065066,14665.42816,997.2577806
2018,Turks and Caicos Islands,TCA,79.261,73.912,76.443,20535,20953,41487,26182.5858,..
2018,Tuvalu,TUV,68.734,60.57,64.212,5252,5613,10865,4383.45247,874.4485521
2018,Uganda,UGA,64.744,60.587,62.714,20994287,20521108,41515395,2239.481676,94.88165118
2018,Ukraine,UKR,76.72,66.69,71.58268293,23945847,20676671,44622518,12633.51367,903.5388671
2018,United Arab Emirates,ARE,81.79,78.028,79.627,2721838,6418331,9140169,73270.67158,2995.451781
2018,United Kingdom,GBR,83.1,79.5,81.25609756,33662065,32798279,66460344,47202.19961,4607.670102
2018,United States,USA,81.2,76.2,78.63902439,164926348,161911851,326838199,62823.30944,10284.5543
2018,Uruguay,URY,81.283,73.753,77.611,1769223,1657819,3427042,23950.39333,2140.166979
2018,Uzbekistan,UZB,73.815,68.479,71.149,16470365,16485735,32956100,7289.329501,373.9839672
2018,Vanuatu,VUT,72.3,67.75,69.795,147683,149615,297298,3118.301296,103.4576131
2018,"Venezuela, RB",VEN,76.431,67.832,71.979,15021517,14804135,29825653,..,638.6134175
2018,Vietnam,VNM,78.777,69.245,73.976,48058062,46856269,94914330,9867.667881,497.1088552
2018,Virgin Islands (U.S.),VIR,82.9,76.3,79.5195122,56512,50489,107001,..,..
2018,West Bank and Gaza,PSE,77.137,72.464,74.793,2293162,2275925,4569087,6470.10354,..
2018,"Yemen, Rep.",YEM,68.601,60.901,64.575,15211556,15578957,30790513,..,..
2018,Zambia,ZMB,64.916,59.674,62.342,9041177,8794716,17835893,3508.310756,177.4020632
2018,Zimbabwe,ZWE,63.594,58.968,61.414,7966181,7086002,15052184,2457.309859,180.091128
2018,Africa Eastern and Southern,AFE,65.82810709,60.90518562,63.36586261,328159112,321598038,649757148,3724.994882,212.0297873
2018,Africa Western and Central,AFW,58.11324772,56.27181247,57.18913927,220253839,222392987,442646825,4161.782756,141.6936289
2018,Arab World,ARB,73.84237696,69.60939621,71.63301665,208132727,224412950,432545676,14766.67779,854.4243878
2018,Caribbean small states,CSS,75.46946751,69.77336613,72.58368687,3728153,3646495,7374650,16625.11211,993.3295851
2018,Central Europe and the Baltics,CEB,80.78099186,73.3628914,76.97682268,52923890,49614561,102538451,32011.75576,2078.133497
2018,Early-demographic dividend,EAR,72.88235818,68.82507689,70.79770566,1620320403,1673978308,3294298709,9442.476558,411.6905793
2018,East Asia & Pacific,EAS,79.48364151,73.86432099,76.59417271,1156327248,1185059834,2341387076,17430.90302,1009.321062
2018,East Asia & Pacific (excluding high income),EAP,78.653279,73.1094794,75.80143372,1030799094,1063725766,2094524854,14039.44911,669.621931
2018,East Asia & Pacific (IDA & IBRD countries),TEA,78.69181143,73.14309113,75.83569328,1017801751,1051096883,2068898629,14195.56842,669.6265233
2018,Euro area,EMU,84.68417432,79.55285467,82.05155281,174867361,167197799,342065158,47533.8001,4808.561614
2018,Europe & Central Asia,ECS,81.18732531,74.81077117,77.91145458,473042342,445740213,918782553,35703.89893,3027.349551
2018,Europe & Central Asia (excluding high income),ECA,77.75193241,69.65079259,73.60952651,207137649,190939121,398076771,22200.48451,1143.299038
2018,Europe & Central Asia (IDA & IBRD countries),TEC,78.16885472,70.12262844,74.05321845,238884600,220728733,459613334,23384.27486,1243.865167
2018,European Union,EUU,83.85312921,78.35146685,81.028729,228709904,218291197,447001100,44649.74553,4295.055042
2018,Fragile and conflict affected situations,FCS,64.22368938,59.82120002,61.96927474,469196637,467191287,936387926,4728.233771,210.898577
2018,Heavily indebted poor countries (HIPC),HPC,65.12106924,60.81934543,62.94757595,397550330,395065568,792615894,2586.638018,126.2843285
2018,High income,HIC,83.45715178,78.25150061,80.76904705,618593559,612918612,1231512170,50448.35878,5899.548363
2018,IBRD only,IBD,76.53622688,71.48201756,73.93370953,2371141326,2424816705,4795958028,13351.0571,679.4305893
2018,IDA & IBRD total,IBT,73.76983874,69.00575063,71.32245782,3213452374,3265645202,6479097568,10899.16571,546.0009508
2018,IDA blend,IDB,62.71018147,59.54308477,61.07731953,277518848,281636749,559155599,5136.339265,170.3969365
2018,IDA only,IDX,67.59020234,63.03385328,65.27719306,564792200,559191748,1123983941,3326.729312,139.9660256
2018,IDA total,IDA,65.98236664,61.86461521,63.88195354,842311048,840828497,1683139540,3920.030145,150.496745
2018,Late-demographic dividend,LTE,79.96156526,73.78003654,76.77063412,1141049073,1157938526,2298987594,17286.99981,964.6416482
2018,Latin America & Caribbean,LCN,77.97540504,71.77990101,74.85149878,324094906,315533319,639628226,16441.43261,1249.838345
2018,Latin America & Caribbean (excluding high income),LAC,77.83769115,71.74917562,74.77198108,292237425,284383093,576620516,15797.50761,1230.316944
2018,Latin America & the Caribbean (IDA & IBRD countries),TLA,77.90327388,71.69955823,74.77648839,316070405,307770877,623841282,16365.14506,1226.917146
2018,Least developed countries: UN classification,LDC,67.07381844,62.62160131,64.81849985,514494228,508999566,1023493788,3070.612065,123.2544568
2018,Low & middle income,LMY,73.67154867,68.95993478,71.2520319,3173117014,3227321786,6400438789,10555.66976,528.041131
2018,Low income,LIC,65.43605686,60.62415637,62.99520392,315996146,314869681,630865826,1944.093609,101.5925902
2018,Lower middle income,LMC,70.80672984,67.16919585,68.93248831,1494196452,1538956668,3033153113,6856.615294,266.0224325
2018,Middle East & North Africa,MEA,76.194284,71.64244588,73.81151713,223852488,241221003,465073490,16808.97996,1037.694726
2018,Middle East & North Africa (excluding high income),MNA,75.59141583,70.51384737,72.98437342,197192506,201182839,398375344,10971.41729,713.167329
2018,Middle East & North Africa (IDA & IBRD countries),TMN,75.57323068,70.49153341,72.96338906,194899344,198906914,393806257,11024.78693,713.167329
2018,Middle income,MIC,74.58239267,69.86113153,72.15486592,2857120868,2912452105,5769572963,11503.62776,568.0206272
2018,North America,NAC,81.48402171,76.56763922,78.9657813,183618832,180348369,363967201,61520.30381,9789.753494
2018,Not classified,INX,..,..,..,..,..,..,..,..
2018,OECD members,OED,82.75247837,77.37679935,80.00903703,688382677,667859120,1356241793,45063.54233,5238.025046
2018,Other small states,OSS,70.16137275,67.04196398,68.49629251,14881926,16612567,31494491,22728.93514,1114.240712
2018,Pacific island small states,PSS,71.26162343,67.33944738,69.21374829,1242108,1268119,2510226,7411.84407,322.6134986
2018,Post-demographic dividend,PST,83.38332999,78.10700783,80.67112754,565325837,544800901,1110126741,49502.689,6114.738293
